,Time (s),Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi
0,1,1887,204,594,100,-20,0
1,2,1888,170,559,100,-20,0
2,3,1888,170,570,100,-20,0
3,4,1895,204,596,100,-20,0
4,5,1923,193,233,100,-20,0
5,6,1034,1016,2,100,-20,0
6,7,1035,1013,2,100,-21,0
7,8,1040,1015,2,100,-21,0
8,9,1033,1015,2,85,-23,0
9,10,1033,1017,2,88,-23,0
10,11,1052,990,3,85,-23,0
11,12,1033,1016,2,86,-23,0
12,13,1035,1014,2,96,-23,0
13,14,1035,1013,3,85,-22,0
14,15,1887,206,597,95,-21,0
15,16,1888,175,595,100,-20,0
16,17,1921,167,501,100,-20,0
17,18,1892,203,599,100,-20,0
18,19,1910,162,604,100,-20,0
19,20,1888,154,580,100,-20,0
20,21,1034,1016,2,100,-22,0
21,22,1037,1016,2,100,-22,0
22,23,1034,1018,2,85,-23,0
